time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
9/26/2019,6.72,29.61,21.91,60.84,9.68,20.85,64.45,12.01,5.23,7.67,6.57,63.52,39.74,48.54,9.7,99.25,2.21,7.12,10.7,10.91,6.36,34.67,65.36,4.26,52.89,136,78.67,7.07
9/27/2019,6.7,29.52,21.97,61.68,9.68,21.14,65.07,12.01,5.26,7.64,6.6,64.25,40.37,48.46,10.01,100.38,2.18,7.29,10.65,10.96,6.33,35.48,65.8,4.19,53.25,136.6,78.73,7.23
9/30/2019,6.75,29.23,21.5,62.95,9.68,20.85,65.88,12.01,5.47,7.57,6.63,63.52,39.77,48.46,10.17,99.29,2.18,7.23,10.55,11.03,6.33,35.14,65.8,4.21,53.25,137.7,78.48,7.2
10/1/2019,6.84,29.14,21.83,63.7,9.75,21.14,65.82,12.45,5.58,7.55,6.7,63.77,40.21,48.54,10.13,98.68,2.18,7.28,10.5,11.22,6.36,35.69,65.73,4.23,53.29,137.5,77.46,7.29
10/2/2019,6.81,28.95,21.94,62.95,9.61,20.67,64.14,12.1,5.55,7.5,6.69,62.31,39.49,48.14,10.09,99.78,2.14,7.36,10.4,11.22,6.36,35.1,65.58,4.33,52.45,137.6,76.85,7.38
10/3/2019,6.81,29.14,22.51,62.69,9.61,20.67,63.21,12.28,5.49,7.43,6.67,63.12,39.46,48.06,9.93,98.68,2.18,7.36,10.5,11.24,6.33,35.1,65.8,4.35,52.45,137.3,78.06,7.38
10/4/2019,6.81,29.05,22.1,61.26,9.43,20.52,62.28,12.19,5.43,7.36,6.59,62.63,38.79,46.45,10.13,97.18,2.14,7.09,10.4,11.15,6.33,35.52,65.73,4.3,52.45,137.6,77.82,7.28
10/7/2019,6.7,29.05,22.05,59.5,9.4,20.05,62.41,11.84,5.41,7.34,6.51,61.9,38.16,46.61,10.25,97.93,2.14,6.93,10.5,10.94,6.3,35.44,65.58,4.19,52,137.4,78.12,7.1
10/8/2019,6.72,28.86,22.43,60.51,9.5,20.27,61.91,12.1,5.45,7.55,6.6,62.23,38.79,46.69,10.21,97.36,2.14,7.03,11,11.12,6.3,36.42,65.29,4.21,52.05,137.4,78.06,7.18
10/9/2019,6.84,28.58,22.51,59.92,9.75,20.38,62.16,12.01,5.43,7.55,6.66,62.31,38.98,46.29,10.13,96.16,2.14,6.99,10.9,11.17,6.33,36.17,65.21,4.23,52,137.4,76.85,7.21
